Test ID,Module,Test Scenario,Preconditions,Test Steps,Expected Result,Type,Priority,Status,Actual Result,Tester,Notes
TSK-007,Task,Status enum complete,Task exists,Cycle status through Yet To Start / In Progress / In Delay / Completed / Blocked,Each value saves with correct badge,Positive,Medium,Fail,"The task status is set as open only, can't change to any status. Shows error",Rugma,"The task creating screen and edit screen have different status options, Please finalize the status"
TSK-008,Task,"Task progress read-only, derived from TPE",Task with a TPE,Inspect task progress,Progress = latest TPE progress_pct; not directly editable,Positive,High,Pass,,,
TSK-009,Task,Project -> WP cascade in task form,Project with WPs,"In New Task, select project",WP dropdown filtered to that project's WPs,Positive,Medium,Pass,,Rugma,
TSK-010,Task,Reassign task to another WP (same project),Task in WP-A; WP-B in same project,Edit task; change WP to WP-B; Save,Task moves to WP-B,Positive,Medium,Pass,,Rugma,
TSK-011,Task,Task company auto-derived from project,Multi-company project,Create task,Company derived; hidden in UI,Positive,Medium,Pass,No company is visible,Rugma,
TSK-012,Task,createdBy stamped on create,Logged in as user X,Create a task,task.createdBy = X,Positive,Medium,Not Run,,,
TSK-013,Task,Cascade delete task -> TPEs + attachments,Task with TPEs and attachments,Delete the task,TPEs and attachments removed,Positive,High,Blocked,Task is not getting deleted,Rugma,
TSK-014,Task,Task list multi-filter,Several tasks,Filter by status / priority / project / assignee / task_type,List narrows per each filter,Positive,Low,Blocked,The status need to fix ,Rugma,
TPE-001,Task Progress Entry,File a progress entry against a task,Task exists,"File Progress Entry; set progress %, narrative; Save",TPE saved and linked to task,Positive,High,Pass,,Rugma,
TPE-002,Task Progress Entry,Progress is cumulative not delta,Task at 30%,File a 50% entry,"Task progress becomes 50% (cumulative), not 80%",Positive,High,Pass,,Rugma,
TPE-003,Task Progress Entry,Progress clamped 0-100,-,Enter 150 (or -10) as progress,Value clamped to 100 (or 0),Edge,Medium,Pass,Shows the error as the number should be between 0-100,Rugma,
TPE-004,Task Progress Entry,entry_date defaults to today,-,Open File Progress Entry,entry_date pre-filled with today,Positive,Low,Pass,,,
TPE-005,Task Progress Entry,entered_by locked to current user,Logged in as X,Open the entry form,entered_by shows X and is read-only,Positive,Medium,Fail,Entred by is not visible on list as well as the detailed view,Rugma,
TPE-006,Task Progress Entry,Hook: TPE updates parent task progress/status,Task at Yet To Start,File a 40% entry,"Task progress=40, status=In Progress (server hook)",Positive,High,Fail,The status is not changing ,Rugma,
TPE-007,Task Progress Entry,Hook: 100% entry completes the task,Task in progress,File a 100% entry,"Task progress=100, status=Completed",Positive,High,Fail,The status is not changing ,Rugma,
TPE-008,Task Progress Entry,Latest entry is source of truth,Task with 2 entries on different dates,Inspect task progress,"Reflects the latest entry (entry_date desc, id desc tiebreak)",Positive,High,Pass,,,
TPE-009,Task Progress Entry,Delete latest entry reverts task,Task with 2 entries,Delete the latest entry,Task progress reverts to the previous entry's value,Positive,High,Fail,The task progress value persist even after deleting the entry,Rugma,
TPE-010,Task Progress Entry,Delete only entry reverts task to 0,Task with 1 entry,Delete it,"Task progress=0, status back to Yet To Start",Edge,Medium,Fail,,,
TPE-011,Task Progress Entry,Blocker flag requires a note,-,Tick blocker flag; leave note blank; Save,Validation error — note required when flag set,Negative,Medium,Fail,on file progress entry the flag cant be added without note But on TPE edit screen the flag can be added without note,Rugma,
TPE-012,Task Progress Entry,Labour + weather fields,-,Enter skilled/unskilled counts + weather; Save,Values persist on the entry,Positive,Low,Pass,,,
TPE-013,Task Progress Entry,Field names match the locked contract,Spec for TPE fields available,Inspect TPE DocType fields,Field names match the Workforce-v2 API contract exactly (no renames),Positive,High,Not Run,,,
TPE-014,Task Progress Entry,Company auto-derived via task->project,Multi-company project,File an entry,TPE company derived from the task's project,Positive,Medium,Blocked,Need Discussion,,
TPE-015,Task Progress Entry,TPE list filters,Several entries,Filter by task / entered_by / blockers-only,List narrows correctly,Positive,Low,Blocked,The task list on the filter is not showing correct tasks,Rugma,
STG-001,Stage Planning,Create a stage under a project,Project exists,New Stage; pick project; set dates; Save,Stage created and linked,Positive,High,Pass,,Rugma,
STG-002,Stage Planning,Project locked after create,Stage saved,Edit stage; attempt to change project,Project is read-only,Positive,Medium,Pass,,Rugma,
STG-003,Stage Planning,Add a task to the stage (child table),Stage + project tasks exist,Add/Remove Tasks; pick tasks; Save,Selected tasks appear as child rows,Positive,High,Pass,,Rugma,
STG-004,Stage Planning,Smart task picker groups by Work Package,Project with WP-grouped tasks,Open the task picker,Tasks grouped by WP with an Unassigned bucket; tristate headers,Positive,Medium,Pass,,Rugma,
STG-005,Stage Planning,Suggest tasks by date overlap,Stage window set; tasks in window,Use 'Suggest by date overlap',Tasks overlapping the window are added (additive),Positive,Medium,Pass,,,
STG-006,Stage Planning,planned_qty defaults to 100%,Task added to stage,Inspect the child row,planned_qty = 100,Positive,Low,Pass,,,
STG-007,Stage Planning,Inline edit planned_qty (Draft only),Draft stage with child rows,Edit a row's planned_qty,Value updates and persists,Positive,Medium,Not Run,,,
STG-008,Stage Planning,Dependencies on sibling stages,Multiple stages on one project,Set a dependency on a sibling,Dependency saved; chip shown,Positive,Medium,Pass,,,
STG-009,Stage Planning,Delete stage cleans dependency back-refs,Stage B depends on Stage A,Delete Stage A,Stage B no longer references the deleted stage,Positive,Medium,Not a feature,Can't delete as the stage plan is added as dependency on another  stage plan,Rugma,
STG-010,Stage Planning,Stage company auto-derived,Multi-company project,Create a stage,Company derived from project,Positive,Medium,Blocked,,,
STG-011,Stage Planning,Delete project cascades stages,Project with stages,Delete the project,Stages removed,Positive,Medium,Blocked,Can't able to delete the project,Rugma,
STG-012,Stage Planning,Stage list filters,Several stages,Filter by project / date range / workflow state,List narrows correctly,Positive,Low,Fail,The state showing correctly  the status are not updating properly,Rugma,
SAW-001,Stage Approval,New stage starts in Draft,-,Create a stage; check workflow_state,workflow_state = Draft,Positive,High,Pass,,,
SAW-002,Stage Approval,Submit Draft -> Pending Approval,Draft stage; approver exists,Submit for Approval,State = Pending Approval; submitted_by/at stamped,Positive,High,Not Run,need to add to enhancement,,
SAW-003,Stage Approval,Approve Pending -> Approved,Pending stage; logged in as approver,Approve,State = Approved; approved_by/at stamped; activity logged,Positive,High,Not Run,"The approval button only visible on hover, there is no stamped data",,
SAW-004,Stage Approval,Reject requires a comment,Pending stage,Reject with no comment,Blocked — comment required,Negative,Medium,Pass,"The Reject button only visible on hover, there is no stamped data",,
SAW-005,Stage Approval,Reject Pending -> Rejected,Pending stage; approver,Reject with a comment,State = Rejected; comment shown in banner,Positive,High,Pass,,,
SAW-006,Stage Approval,Rejected -> Draft on first edit,Rejected stage,Edit and save,State returns to Draft; rejection_comment cleared,Positive,Medium,Fail,The rejected status persisting on screen,,
SAW-007,Stage Approval,Revise Approved -> Draft,Approved stage; approver,Revise,State = Draft; last_revised_by/at stamped,Positive,Medium,Pass,No stamped data need to add to improvement,,
SAW-008,Stage Approval,Approver gating reads approval_required_role,Project requires Director approval,"As PM, view a Pending stage",Approve/Reject gated to the configured role (+ admin/bsa),Positive,High,Blocked,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
